current_density_A_cm2,value
0.2533049040511727,2093.9597315436245
0.26077185501066097,2152.7181208053694
0.2682388059701492,2211.476510067114
0.2757057569296375,2270.234899328859
0.28317270788912574,2318.926174496644
0.29063965884861404,2367.6174496644294
0.29810660980810233,2426.3758389261748
0.30557356076759057,2475.0671140939594
0.31304051172707886,2523.758389261745
0.32050746268656716,2582.51677852349
0.3279744136460554,2641.2751677852348
0.3354413646055437,2689.9664429530203
0.342908315565032,2738.657718120806
0.3503752665245202,2797.4161073825508
0.3578422174840085,2846.1073825503354
0.3653091684434968,2894.798657718121
0.37277611940298505,2943.4899328859055
0.3802430703624733,2992.1812080536906
0.3877100213219616,3040.8724832214766
0.3951769722814499,3085.0503355704695
0.4026439232409381,3138.2550335570468
0.4101108742004264,3184.077181208054
0.4175778251599147,3235.637583892618
0.42504477611940295,3274.261744966443
0.43251172707889124,3332.6174496644294
0.43997867803837953,3371.6442953020137
0.4474456289978678,3421.577181208054
0.45491257995735607,3469.0268456375843
0.46237953091684436,3507.6510067114095
0.4698464818763326,3553.691275167785
0.4773134328358209,3605.03355704698
0.4847803837953092,3643.6577181208054
0.4922473347547974,3682.281879194631
0.49971428571428567,3720.9060402684563
0.507181236673774,3767.348993288591
0.5146481876332623,3806.7953020134228
0.5221151385927505,3856.308724832215
0.5295820895522387,3895.5369127516774
0.5370490405117271,3934.1610738255035
0.5445159914712153,3972.7852348993288
0.5519829424307037,4011.4093959731545
0.5594498933901919,4050.0335570469806
0.5669168443496801,4088.6577181208054
0.5743837953091684,4127.281879194631
0.5818507462686567,4165.906040268457
0.589317697228145,4204.530201342282
0.5967846481876333,4240.704697986577
0.6042515991471216,4278.523489932886
0.6117185501066098,4309.530201342282
0.619185501066098,4338.926174496644
0.6266524520255863,4377.51677852349
0.6341194029850746,4416.140939597316
0.6415863539445629,4447.181208053691
0.6490533049040512,4479.86577181208
0.6565202558635395,4511.879194630873
0.6639872068230277,4540.268456375839
0.6714541577825159,4574.765100671141
0.6789211087420043,4607.61744966443
0.6863880597014925,4640.939597315436
0.6938550106609809,4664.7315436241615
0.7013219616204691,4692.281879194631
0.7087889125799574,4721.661073825503
0.7162558635394456,4741.6107382550335
0.7237228144989338,4778.959731543623
0.7311897654584222,4802.013422818792
0.7386567164179105,4822.147651006711
0.7461236673773988,4854.563758389262
0.753590618336887,4882.5503355704695
0.7610575692963752,4902.684563758389
0.7685245202558636,4926.493288590605
0.7759914712153518,4945.805369127516
0.7834584221748401,4967.147651006711
0.7909253731343283,4984.4295302013425
0.7983923240938167,5004.127516778524
0.8058592750533049,5023.4899328859065
0.8133262260127931,5043.624161073825
0.8207931769722815,5063.758389261745
0.8282601279317697,5083.892617449665
0.835727078891258,5100.302013422818
0.8431940298507463,5104.026845637583
0.8506609808102346,5124.161073825503
0.8581279317697228,5138.104026845638
0.8655948827292111,5147.3489932885905
0.8730618336886994,5164.4295302013425
0.8805287846481876,5174.496644295302
0.887995735607676,5184.563758389262
0.8954626865671642,5184.563758389262
0.9029296375266525,5204.697986577181
0.9103965884861408,5204.697986577181
0.917863539445629,5224.832214765101
0.9253304904051173,5224.832214765101
0.9327974413646055,5224.832214765101
0.9402643923240939,5234.89932885906
0.9477313432835821,5244.96644295302
0.9551982942430703,5244.96644295302
0.9626652452025587,5244.96644295302
0.9701321961620469,5256.644295302013
0.9775991471215352,5265.100671140939
0.9850660980810235,5265.100671140939
0.9925330490405118,5275.167785234899
1.0,5285.234899328859
